2018-07-23 15:51:42 INFO  Cls1:15 - Sample info message
2018-07-23 15:51:42 WARN  Cls1:16 - Sample warn message
2018-07-23 15:51:42 ERROR Cls1:17 - Sample error message
2018-07-23 15:51:42 FATAL Cls1:18 - Sample fatal message
2018-07-23 15:53:51 INFO  Cls1:15 - Sample info message
2018-07-23 15:53:51 WARN  Cls1:16 - Sample warn message
2018-07-23 15:53:51 ERROR Cls1:17 - Sample error message
2018-07-23 15:53:51 FATAL Cls1:18 - Sample fatal message
2018-07-23 16:14:29 FATAL Cls1:28 - This is fatal msg
2018-07-23 16:14:29 ERROR Cls1:29 - This is error msg
2018-07-23 16:14:29 WARN  Cls1:31 - This is warn msg
2018-07-23 16:14:29 INFO  Cls1:32 - This is info msg
2018-07-23 16:14:29 DEBUG Cls1:33 - This is debug msg
2018-07-23 16:14:29 TRACE Cls1:34 - This is trace msg
2018-07-23 16:14:49 FATAL Cls1:28 - This is fatal msg
2018-07-23 16:14:49 ERROR Cls1:29 - This is error msg
2018-07-23 16:14:49 WARN  Cls1:31 - This is warn msg
2018-07-23 16:14:49 INFO  Cls1:32 - This is info msg
2018-07-23 16:14:49 DEBUG Cls1:33 - This is debug msg
2018-07-23 16:14:49 TRACE Cls1:34 - This is trace msg
2018-07-23 16:15:09 FATAL Cls1:28 - This is fatal msg
2018-07-23 16:15:09 ERROR Cls1:29 - This is error msg
2018-07-23 16:15:09 WARN  Cls1:31 - This is warn msg
2018-07-23 16:15:09 INFO  Cls1:32 - This is info msg
2018-07-23 16:15:09 DEBUG Cls1:33 - This is debug msg
2018-07-23 16:15:09 TRACE Cls1:34 - This is trace msg
2018-07-23 16:15:29 FATAL Cls1:28 - This is fatal msg
2018-07-23 16:15:29 ERROR Cls1:29 - This is error msg
2018-07-23 16:15:29 WARN  Cls1:31 - This is warn msg
2018-07-23 16:15:29 INFO  Cls1:32 - This is info msg
2018-07-23 16:15:29 DEBUG Cls1:33 - This is debug msg
2018-07-23 16:15:29 TRACE Cls1:34 - This is trace msg
2018-07-23 16:15:49 FATAL Cls1:28 - This is fatal msg
2018-07-23 16:15:49 ERROR Cls1:29 - This is error msg
2018-07-23 16:15:49 WARN  Cls1:31 - This is warn msg
2018-07-23 16:15:49 INFO  Cls1:32 - This is info msg
2018-07-23 16:15:49 DEBUG Cls1:33 - This is debug msg
2018-07-23 16:15:49 TRACE Cls1:34 - This is trace msg
2018-07-23 16:16:09 FATAL Cls1:28 - This is fatal msg
2018-07-23 16:16:09 ERROR Cls1:29 - This is error msg
2018-07-23 16:16:09 WARN  Cls1:31 - This is warn msg
2018-07-23 16:16:09 INFO  Cls1:32 - This is info msg
2018-07-23 16:16:09 DEBUG Cls1:33 - This is debug msg
2018-07-23 16:16:09 TRACE Cls1:34 - This is trace msg
2018-07-23 16:16:29 FATAL Cls1:28 - This is fatal msg
2018-07-23 16:16:29 ERROR Cls1:29 - This is error msg
2018-07-23 16:16:29 WARN  Cls1:31 - This is warn msg
2018-07-23 16:16:29 INFO  Cls1:32 - This is info msg
2018-07-23 16:16:29 DEBUG Cls1:33 - This is debug msg
2018-07-23 16:16:29 TRACE Cls1:34 - This is trace msg
2018-07-23 16:17:20 FATAL Cls1:28 - This is fatal msg
2018-07-23 16:17:20 ERROR Cls1:29 - This is error msg
2018-07-23 16:17:20 WARN  Cls1:31 - This is warn msg
2018-07-23 16:17:20 INFO  Cls1:32 - This is info msg
2018-07-23 16:17:20 DEBUG Cls1:33 - This is debug msg
2018-07-23 16:17:20 TRACE Cls1:34 - This is trace msg
2018-07-23 16:17:40 FATAL Cls1:28 - This is fatal msg
2018-07-23 16:17:40 ERROR Cls1:29 - This is error msg
2018-07-23 16:17:40 WARN  Cls1:31 - This is warn msg
2018-07-23 16:17:40 INFO  Cls1:32 - This is info msg
2018-07-23 16:17:40 DEBUG Cls1:33 - This is debug msg
2018-07-23 16:17:40 TRACE Cls1:34 - This is trace msg
2018-07-23 16:18:00 FATAL Cls1:28 - This is fatal msg
2018-07-23 16:18:00 ERROR Cls1:29 - This is error msg
